(venv) alex@alex-desktop:~/Frontier-Dental-POC$ python main.py run --reset --limit 100
2026-03-17T19:40:49.835038Z [debug    ] browser_live_dom_extracted     url=https://www.safcodental.com/product/microflex-reg-diamond-grip-plus-trade variant_count=5
2026-03-17T19:40:49.894908Z [debug    ] browser_rendered               size=873995 url=https://www.safcodental.com/product/microflex-reg-diamond-grip-plus-trade
2026-03-17T19:40:49.932886Z [info     ] extractor_css_success          url=https://www.safcodental.com/product/microflex-reg-diamond-grip-plus-trade variant_count=5
2026-03-17T19:40:49.949779Z [debug    ] browser_navigate               url=https://www.safcodental.com/product/micropro-textured
2026-03-17T19:40:49.960202Z [info     ] product_extracted              url=https://www.safcodental.com/product/microflex-reg-diamond-grip-plus-trade variants=5
2026-03-17T19:40:52.560680Z [debug    ] browser_live_dom_extracted     url=https://www.safcodental.com/product/sigma-reg variant_count=5
2026-03-17T19:40:52.632906Z [debug    ] browser_rendered               size=826406 url=https://www.safcodental.com/product/sigma-reg
2026-03-17T19:40:52.677015Z [info     ] extractor_css_success          url=https://www.safcodental.com/product/sigma-reg variant_count=5
2026-03-17T19:40:52.696275Z [debug    ] browser_navigate               url=https://www.safcodental.com/product/pulse-trade-latex
2026-03-17T19:40:52.716095Z [info     ] product_extracted              url=https://www.safcodental.com/product/sigma-reg variants=5
2026-03-17T19:40:53.088204Z [debug    ] browser_live_dom_extracted     url=https://www.safcodental.com/product/aurelia-reg-vibrant-trade variant_count=4
2026-03-17T19:40:53.147509Z [debug    ] browser_rendered               size=792859 url=https://www.safcodental.com/product/aurelia-reg-vibrant-trade
2026-03-17T19:40:53.185873Z [info     ] extractor_css_success          url=https://www.safcodental.com/product/aurelia-reg-vibrant-trade variant_count=4
2026-03-17T19:40:53.203612Z [debug    ] browser_navigate               url=https://www.safcodental.com/product/microflex-reg-comfortgrip-trade
2026-03-17T19:40:53.219447Z [info     ] product_extracted              url=https://www.safcodental.com/product/aurelia-reg-vibrant-trade variants=4
2026-03-17T19:40:54.100981Z [debug    ] browser_rendered               size=320020 url=https://www.safcodental.com/product/micropro-textured
2026-03-17T19:40:54.132750Z [info     ] extractor_no_table_stub        from_price=12.49 url=https://www.safcodental.com/product/micropro-textured
2026-03-17T19:40:54.132845Z [info     ] extractor_css_success          url=https://www.safcodental.com/product/micropro-textured variant_count=1
2026-03-17T19:40:54.150029Z [debug    ] browser_navigate               url=https://www.safcodental.com/product/cyntek-reg
2026-03-17T19:40:54.153218Z [info     ] product_extracted              url=https://www.safcodental.com/product/micropro-textured variants=1
2026-03-17T19:40:55.998671Z [debug    ] browser_live_dom_extracted     url=https://www.safcodental.com/product/pulse-trade-latex variant_count=5
2026-03-17T19:40:56.056880Z [debug    ] browser_rendered               size=782858 url=https://www.safcodental.com/product/pulse-trade-latex
2026-03-17T19:40:56.095562Z [info     ] extractor_css_success          url=https://www.safcodental.com/product/pulse-trade-latex variant_count=5
2026-03-17T19:40:56.113204Z [debug    ] browser_navigate               url=https://www.safcodental.com/product/vitalgard-reg
2026-03-17T19:40:56.131700Z [info     ] product_extracted              url=https://www.safcodental.com/product/pulse-trade-latex variants=5
2026-03-17T19:40:56.321686Z [debug    ] browser_rendered               size=290080 url=https://www.safcodental.com/product/microflex-reg-comfortgrip-trade
2026-03-17T19:40:56.354064Z [info     ] extractor_no_table_stub        from_price=13.49 url=https://www.safcodental.com/product/microflex-reg-comfortgrip-trade
2026-03-17T19:40:56.354147Z [info     ] extractor_css_success          url=https://www.safcodental.com/product/microflex-reg-comfortgrip-trade variant_count=1
2026-03-17T19:40:56.371456Z [debug    ] browser_navigate               url=https://www.safcodental.com/product/aurelia-reg-distinct-reg
2026-03-17T19:40:56.378825Z [info     ] product_extracted              url=https://www.safcodental.com/product/microflex-reg-comfortgrip-trade variants=1
2026-03-17T19:40:57.471666Z [debug    ] browser_live_dom_extracted     url=https://www.safcodental.com/product/cyntek-reg variant_count=5
2026-03-17T19:40:57.529518Z [debug    ] browser_rendered               size=839579 url=https://www.safcodental.com/product/cyntek-reg
2026-03-17T19:40:57.567135Z [info     ] extractor_css_success          url=https://www.safcodental.com/product/cyntek-reg variant_count=5
2026-03-17T19:40:57.583022Z [debug    ] browser_navigate               url=https://www.safcodental.com/product/blossom-reg
2026-03-17T19:40:57.599569Z [info     ] product_extracted              url=https://www.safcodental.com/product/cyntek-reg variants=5
2026-03-17T19:40:59.659297Z [debug    ] browser_live_dom_extracted     url=https://www.safcodental.com/product/vitalgard-reg variant_count=1
2026-03-17T19:40:59.711168Z [debug    ] browser_rendered               size=515325 url=https://www.safcodental.com/product/vitalgard-reg
2026-03-17T19:40:59.730108Z [debug    ] browser_rendered               size=320753 url=https://www.safcodental.com/product/aurelia-reg-distinct-reg
2026-03-17T19:40:59.752055Z [info     ] extractor_css_success          url=https://www.safcodental.com/product/vitalgard-reg variant_count=1
2026-03-17T19:40:59.767852Z [debug    ] browser_navigate               url=https://www.safcodental.com/product/beesure-reg-latex
2026-03-17T19:40:59.775313Z [info     ] product_extracted              url=https://www.safcodental.com/product/vitalgard-reg variants=1
2026-03-17T19:40:59.776860Z [info     ] extractor_no_table_stub        from_price=8.79 url=https://www.safcodental.com/product/aurelia-reg-distinct-reg
2026-03-17T19:40:59.776998Z [info     ] extractor_css_success          url=https://www.safcodental.com/product/aurelia-reg-distinct-reg variant_count=1
2026-03-17T19:40:59.793177Z [info     ] product_extracted              url=https://www.safcodental.com/product/aurelia-reg-distinct-reg variants=1
2026-03-17T19:40:59.795698Z [debug    ] browser_navigate               url=https://www.safcodental.com/product/safco-durasoft-trade-latex-gloves
2026-03-17T19:41:00.927977Z [debug    ] browser_rendered               size=385706 url=https://www.safcodental.com/product/blossom-reg
2026-03-17T19:41:00.983998Z [info     ] extractor_no_table_stub        from_price=8.59 url=https://www.safcodental.com/product/blossom-reg
2026-03-17T19:41:00.984059Z [info     ] extractor_css_success          url=https://www.safcodental.com/product/blossom-reg variant_count=1
2026-03-17T19:41:01.000785Z [debug    ] browser_navigate               url=https://www.safcodental.com/product/polymed-reg
2026-03-17T19:41:01.001613Z [info     ] product_extracted              url=https://www.safcodental.com/product/blossom-reg variants=1
2026-03-17T19:41:02.812546Z [debug    ] browser_live_dom_extracted     url=https://www.safcodental.com/product/safco-durasoft-trade-latex-gloves variant_count=5
2026-03-17T19:41:02.889019Z [debug    ] browser_rendered               size=974436 url=https://www.safcodental.com/product/safco-durasoft-trade-latex-gloves
2026-03-17T19:41:02.936735Z [info     ] extractor_css_success          url=https://www.safcodental.com/product/safco-durasoft-trade-latex-gloves variant_count=5
2026-03-17T19:41:02.957477Z [debug    ] browser_navigate               url=https://www.safcodental.com/product/proderm-trade
2026-03-17T19:41:02.971833Z [info     ] product_extracted              url=https://www.safcodental.com/product/safco-durasoft-trade-latex-gloves variants=5
2026-03-17T19:41:03.538586Z [debug    ] browser_live_dom_extracted     url=https://www.safcodental.com/product/beesure-reg-latex variant_count=5
2026-03-17T19:41:03.600049Z [debug    ] browser_rendered               size=868536 url=https://www.safcodental.com/product/beesure-reg-latex
2026-03-17T19:41:03.636737Z [info     ] extractor_css_success          url=https://www.safcodental.com/product/beesure-reg-latex variant_count=5
2026-03-17T19:41:03.654336Z [debug    ] browser_navigate               url=https://www.safcodental.com/product/essential-textured
2026-03-17T19:41:03.673131Z [info     ] product_extracted              url=https://www.safcodental.com/product/beesure-reg-latex variants=5
2026-03-17T19:41:04.308926Z [debug    ] browser_live_dom_extracted     url=https://www.safcodental.com/product/polymed-reg variant_count=1
2026-03-17T19:41:04.348938Z [debug    ] browser_rendered               size=461964 url=https://www.safcodental.com/product/polymed-reg
2026-03-17T19:41:04.384866Z [info     ] extractor_css_success          url=https://www.safcodental.com/product/polymed-reg variant_count=1
2026-03-17T19:41:04.402653Z [debug    ] browser_navigate               url=https://www.safcodental.com/product/microflex-reg-xceed-reg
2026-03-17T19:41:04.408157Z [info     ] product_extracted              url=https://www.safcodental.com/product/polymed-reg variants=1
2026-03-17T19:41:06.220140Z [debug    ] browser_live_dom_extracted     url=https://www.safcodental.com/product/proderm-trade variant_count=3
2026-03-17T19:41:06.271296Z [debug    ] browser_rendered               size=661712 url=https://www.safcodental.com/product/proderm-trade
2026-03-17T19:41:06.308844Z [info     ] extractor_css_success          url=https://www.safcodental.com/product/proderm-trade variant_count=3
2026-03-17T19:41:06.328004Z [debug    ] browser_navigate               url=https://www.safcodental.com/product/beesure-reg-slim-trade-nitrile
2026-03-17T19:41:06.343189Z [info     ] product_extracted              url=https://www.safcodental.com/product/proderm-trade variants=3
2026-03-17T19:41:06.721107Z [debug    ] browser_live_dom_extracted     url=https://www.safcodental.com/product/essential-textured variant_count=1
2026-03-17T19:41:06.760953Z [debug    ] browser_rendered               size=462512 url=https://www.safcodental.com/product/essential-textured
2026-03-17T19:41:06.797524Z [info     ] extractor_css_success          url=https://www.safcodental.com/product/essential-textured variant_count=1
2026-03-17T19:41:06.814035Z [info     ] product_extracted              url=https://www.safcodental.com/product/essential-textured variants=1
2026-03-17T19:41:06.814297Z [debug    ] browser_navigate               url=https://www.safcodental.com/product/aurelia-sup-reg-sup-perform-sup-trade-sup
2026-03-17T19:41:08.071343Z [debug    ] browser_live_dom_extracted     url=https://www.safcodental.com/product/microflex-reg-xceed-reg variant_count=5
2026-03-17T19:41:08.134324Z [debug    ] browser_rendered               size=871008 url=https://www.safcodental.com/product/microflex-reg-xceed-reg
2026-03-17T19:41:08.177653Z [info     ] extractor_css_success          url=https://www.safcodental.com/product/microflex-reg-xceed-reg variant_count=5
2026-03-17T19:41:08.194332Z [debug    ] browser_navigate               url=https://www.safcodental.com/product/hu-friedy-nitrile-utility-gloves
2026-03-17T19:41:08.225758Z [info     ] product_extracted              url=https://www.safcodental.com/product/microflex-reg-xceed-reg variants=5
2026-03-17T19:41:09.700913Z [debug    ] browser_live_dom_extracted     url=https://www.safcodental.com/product/beesure-reg-slim-trade-nitrile variant_count=4
2026-03-17T19:41:09.763637Z [debug    ] browser_rendered               size=770579 url=https://www.safcodental.com/product/beesure-reg-slim-trade-nitrile
2026-03-17T19:41:09.805673Z [info     ] extractor_css_success          url=https://www.safcodental.com/product/beesure-reg-slim-trade-nitrile variant_count=4
2026-03-17T19:41:09.821675Z [debug    ] browser_navigate               url=https://www.safcodental.com/product/alasta-sup-reg-sup-white
2026-03-17T19:41:09.829882Z [info     ] product_extracted              url=https://www.safcodental.com/product/beesure-reg-slim-trade-nitrile variants=4
2026-03-17T19:41:09.941739Z [debug    ] browser_live_dom_extracted     url=https://www.safcodental.com/product/aurelia-sup-reg-sup-perform-sup-trade-sup variant_count=2
2026-03-17T19:41:09.989742Z [debug    ] browser_rendered               size=603622 url=https://www.safcodental.com/product/aurelia-sup-reg-sup-perform-sup-trade-sup
2026-03-17T19:41:10.023379Z [info     ] extractor_css_success          url=https://www.safcodental.com/product/aurelia-sup-reg-sup-perform-sup-trade-sup variant_count=2
2026-03-17T19:41:10.041877Z [debug    ] browser_navigate               url=https://www.safcodental.com/product/aurelia-sup-reg-sup-transform-sup-reg-sup
2026-03-17T19:41:10.045120Z [info     ] product_extracted              url=https://www.safcodental.com/product/aurelia-sup-reg-sup-perform-sup-trade-sup variants=2
2026-03-17T19:41:11.676728Z [debug    ] browser_live_dom_extracted     url=https://www.safcodental.com/product/hu-friedy-nitrile-utility-gloves variant_count=4
2026-03-17T19:41:11.732267Z [debug    ] browser_rendered               size=827139 url=https://www.safcodental.com/product/hu-friedy-nitrile-utility-gloves
2026-03-17T19:41:11.772841Z [info     ] extractor_css_success          url=https://www.safcodental.com/product/hu-friedy-nitrile-utility-gloves variant_count=4
2026-03-17T19:41:11.788256Z [debug    ] browser_navigate               url=https://www.safcodental.com/product/microflex-sup-reg-sup-ultraform-sup-trade-sup
2026-03-17T19:41:11.805377Z [info     ] product_extracted              url=https://www.safcodental.com/product/hu-friedy-nitrile-utility-gloves variants=4
2026-03-17T19:41:12.812944Z [debug    ] browser_rendered               size=320401 url=https://www.safcodental.com/product/alasta-sup-reg-sup-white
2026-03-17T19:41:12.845935Z [info     ] extractor_no_table_stub        from_price=10.99 url=https://www.safcodental.com/product/alasta-sup-reg-sup-white
2026-03-17T19:41:12.846018Z [info     ] extractor_css_success          url=https://www.safcodental.com/product/alasta-sup-reg-sup-white variant_count=1
2026-03-17T19:41:12.862401Z [debug    ] browser_navigate               url=https://www.safcodental.com/product/halo-trade
2026-03-17T19:41:12.885657Z [info     ] product_extracted              url=https://www.safcodental.com/product/alasta-sup-reg-sup-white variants=1
2026-03-17T19:41:13.015278Z [debug    ] browser_live_dom_extracted     url=https://www.safcodental.com/product/aurelia-sup-reg-sup-transform-sup-reg-sup variant_count=4
2026-03-17T19:41:13.070737Z [debug    ] browser_rendered               size=782537 url=https://www.safcodental.com/product/aurelia-sup-reg-sup-transform-sup-reg-sup
2026-03-17T19:41:13.110215Z [info     ] extractor_css_success          url=https://www.safcodental.com/product/aurelia-sup-reg-sup-transform-sup-reg-sup variant_count=4
2026-03-17T19:41:13.128739Z [debug    ] browser_navigate               url=https://www.safcodental.com/product/aqua-source-reg
2026-03-17T19:41:13.172439Z [info     ] product_extracted              url=https://www.safcodental.com/product/aurelia-sup-reg-sup-transform-sup-reg-sup variants=4
2026-03-17T19:41:15.123465Z [debug    ] browser_live_dom_extracted     url=https://www.safcodental.com/product/microflex-sup-reg-sup-ultraform-sup-trade-sup variant_count=8
2026-03-17T19:41:15.205652Z [debug    ] browser_rendered               size=1164935 url=https://www.safcodental.com/product/microflex-sup-reg-sup-ultraform-sup-trade-sup
2026-03-17T19:41:15.261390Z [info     ] extractor_css_success          url=https://www.safcodental.com/product/microflex-sup-reg-sup-ultraform-sup-trade-sup variant_count=8
2026-03-17T19:41:15.280728Z [debug    ] browser_navigate               url=https://www.safcodental.com/product/aurelia-reg-amazing-reg
2026-03-17T19:41:15.333755Z [info     ] product_extracted              url=https://www.safcodental.com/product/microflex-sup-reg-sup-ultraform-sup-trade-sup variants=8
2026-03-17T19:41:16.173672Z [debug    ] browser_live_dom_extracted     url=https://www.safcodental.com/product/halo-trade variant_count=2
2026-03-17T19:41:16.216601Z [debug    ] browser_rendered               size=533947 url=https://www.safcodental.com/product/halo-trade
2026-03-17T19:41:16.250479Z [info     ] extractor_css_success          url=https://www.safcodental.com/product/halo-trade variant_count=2
2026-03-17T19:41:16.260245Z [debug    ] browser_live_dom_extracted     url=https://www.safcodental.com/product/aqua-source-reg variant_count=5
2026-03-17T19:41:16.266826Z [debug    ] browser_navigate               url=https://www.safcodental.com/product/safco-nitrilex-reg-ultrasoft-nitrile-gloves
2026-03-17T19:41:16.277449Z [info     ] product_extracted              url=https://www.safcodental.com/product/halo-trade variants=2
2026-03-17T19:41:16.323984Z [debug    ] browser_rendered               size=857085 url=https://www.safcodental.com/product/aqua-source-reg
2026-03-17T19:41:16.367531Z [info     ] extractor_css_success          url=https://www.safcodental.com/product/aqua-source-reg variant_count=5
2026-03-17T19:41:16.384010Z [debug    ] browser_navigate               url=https://www.safcodental.com/product/beesure-reg-superslim-trade-nitrile
2026-03-17T19:41:16.397928Z [info     ] product_extracted              url=https://www.safcodental.com/product/aqua-source-reg variants=5
2026-03-17T19:41:18.452172Z [debug    ] browser_live_dom_extracted     url=https://www.safcodental.com/product/aurelia-reg-amazing-reg variant_count=5
2026-03-17T19:41:18.520866Z [debug    ] browser_rendered               size=941519 url=https://www.safcodental.com/product/aurelia-reg-amazing-reg
2026-03-17T19:41:18.577173Z [info     ] extractor_css_success          url=https://www.safcodental.com/product/aurelia-reg-amazing-reg variant_count=5
2026-03-17T19:41:18.595223Z [debug    ] browser_navigate               url=https://www.safcodental.com/product/pulse-nitrile
2026-03-17T19:41:18.620340Z [info     ] product_extracted              url=https://www.safcodental.com/product/aurelia-reg-amazing-reg variants=5
2026-03-17T19:41:19.292681Z [debug    ] browser_live_dom_extracted     url=https://www.safcodental.com/product/safco-nitrilex-reg-ultrasoft-nitrile-gloves variant_count=5
2026-03-17T19:41:19.359144Z [debug    ] browser_rendered               size=1031027 url=https://www.safcodental.com/product/safco-nitrilex-reg-ultrasoft-nitrile-gloves
